,formula,Number of Atoms,Density (g cm-3),Volume (Å3),the total atomic mass (amu),Bulk modulus (GPa),Shear modulus (GPa),Sound velocity of the transverse wave (m s-1),Sound velocity of the longitude wave (m s-1),Poisson ratio,Acoustic Debye Temperature (K),Kappa_cal (W m-1 K-1)
mp-570021,Ti12Tl10Ag2Se54,78,5.410274476125009,2178.53388812,7097.81,15.61547202575428,16.50471293193207,1746.6035489506255,2636.998493064251,0.1092087104824158,43.887606286771,0.6460939374048833
mp-722275,Cu2H40S4N4O28,78,1.8899741010472075,702.61155145,799.672,25.161882320468443,11.37191429921718,2452.9509420326613,4619.087801259645,0.3036109786960013,91.79887405855482,0.1966765646530449
mp-707284,H48Pd2C16N4Cl8,78,1.408419573809541,935.03713968,793.052,20.61660782901291,8.443036203205885,2448.405236565839,4757.208498919238,0.3198315680907425,83.477189876178,0.1443013569102464
mp-15361,V6P18O54,78,3.015118761503392,951.21754818,1727.13,55.88115049511585,29.79213742629297,3143.3925517267144,5631.0038070416895,0.2736567840388744,105.94295304968531,0.8668470084561241
mp-1238275,Ni2H40Se4N4O28,78,1.6116170618587198,1007.24378252,977.546,12.235300932938118,5.807724660586832,1898.3316170768396,3520.912447178021,0.2950871870625609,62.93790598857969,0.0922882944882187
mp-1194695,Hg4Te8Kr6O8F52,78,3.939150290404224,1450.93137114,3441.836,7.138186092595213,3.4770362693944867,939.5141709345688,1728.8808517641312,0.2904692528152006,27.56479335283188,0.0317265648655638
mp-1173616,Nd10Te14W2Cl6O46,78,5.73585793210153,1315.85875501,4545.152,42.63759403958068,22.940039079291875,1999.85212436476,3572.9625100508742,0.2718964859545743,60.478633918131735,0.4775556682637648
mp-703398,Cu2H40Se4N4O28,78,2.1924598638895394,747.74861847,987.252,22.0481838589698,9.993655815281056,2134.9925710984044,4016.710013335351,0.3031148324033281,78.25353871476337,0.1540626504867113
mp-16000,Cs10Ti12Ag2Se54,78,4.358804839848073,2431.74879855,6383.029999999999,19.419910661560348,13.510202084350311,1760.5453249049272,2930.532778016475,0.2176351993435936,43.11360870400125,0.3896665373265205
mp-569806,K10Na2Ti12Se54,78,3.875335122701517,2260.42053225,5275.203999999999,17.425177121916715,13.92611386323575,1895.6595305718845,3047.588846525452,0.1844614552614249,47.39748306106836,0.4778565217182894
mp-1223113,Na4Nb4C16S8N6Cl2O38,78,1.970073309151685,1412.02027748,1675.19,14.701357706518449,8.03595658785418,2019.6568988910049,3591.7997925527457,0.2688161102050866,59.63609688838279,0.1757494129956099
mp-585338,Li9Mn9P12O48,78,2.943624413029759,957.07015212,1696.551,78.01117861062728,35.0946566852995,3452.862634187382,6511.38161038114,0.3043981028684368,116.58119972364872,0.9424773839565012
mp-1196529,Na12W12Se4O50,78,5.480234097182656,1090.16220216,3597.75,61.5119342903749,31.575279963234504,2400.347115005852,4348.166020078132,0.2808399304483906,77.37348873629705,0.7063791904660793
mp-1203127,Fe6P8H24O40,78,2.633062593505469,786.44688164,1247.014,49.00057353103836,23.1108428506644,2962.629210811925,5505.689950875171,0.2962157316649134,106.68440473204834,0.5242451469377125
mp-27111,Li9Sb9P12O48,78,3.425237746121945,1114.06085187,2297.949,44.09978565605519,20.91562897138136,2471.098766532945,4584.400534901558,0.2952325403113578,79.22218444968051,0.4470414415063032
mp-560938,Cs6Mo10P12O50,78,3.750420857621013,1296.64092936,2928.468,49.11275490301285,22.805882861061367,2465.945318329344,4604.6838538137945,0.298942104209033,75.19225453117294,0.5004507050920708
mp-1173624,Nd10Te14Mo2Cl6O46,78,5.531611925388456,1311.66997682,4369.352,42.04009259071753,23.068410883897503,2042.128126750575,3627.720286536685,0.2680613950188844,61.794122641396726,0.4996778039188621
mp-24758,Co2H40Se4N4O28,78,2.177518855110446,745.84352688,978.026,23.175944450494104,11.032073253585894,2250.855454368428,4171.140662106327,0.2945862827088013,82.48141207956695,0.1886085997856235
mp-1207721,Y6Si12Ag18O42,78,5.16874479287466,1119.3310172,3484.05,105.49983294051314,36.138771480956805,2644.1990675243937,5452.843087149707,0.3462782919876082,85.20295365119624,0.5828869360748168
mp-774972,Ni6P18O54,78,2.9490240374184613,998.72387385,1773.636,41.98411683888578,21.215451975261725,2682.174244983971,4881.464147235835,0.2837626340541438,89.05198091955097,0.5068397996392212
mp-1196244,Mn14Zn8Si4As4O48,78,4.506776027758621,910.982219,2472.388,104.80245040227388,35.76577427814112,2817.0906869111504,5816.850569296549,0.3467938927554408,97.2316371893399,0.5714500691072972
mp-770652,Li6Cr18O54,78,2.354974972604386,1298.52224129,1841.52,28.852234155524595,14.686200609378655,2497.2474601908093,4535.041658412786,0.2824114061847713,75.95290372544407,0.3592154578285406
mp-777796,Li9Cr9P12O48,78,2.841883256155461,975.86214269,1670.073,82.29843266739212,33.97227193813552,3457.476040944191,6700.594909187879,0.3185678470532122,116.1945536578958,0.8388330675471585
mp-707039,Zn2H40S4N4O28,78,1.753423915942856,760.85705025,803.398,25.792796246690287,12.29058820937808,2647.542077614986,4904.684740243416,0.2944006618424968,96.37316174011409,0.2490762216912552
mp-1173612,Pr10Te14W2Cl6O46,78,5.604024626474087,1336.94066708,4511.832,43.953715818260754,21.96776670411777,1979.8985442711871,3615.2324055081376,0.2857902707280458,59.66042433476199,0.4221432017658826
mp-677520,K2Ba12Zn8Ga14O42,78,5.180823630206255,1249.23299023,3897.472,86.58352628868705,31.4487693148465,2463.782825160956,4980.5565540062125,0.3380039163310097,76.45180909180831,0.5228491814626831
mp-1194957,Hg4Te8Xe6O8F52,78,4.080117556951973,1516.78267216,3726.806,9.044915359204513,3.132770965720593,876.2499061367549,1800.1608289334515,0.3447458890713405,25.51003042592003,0.0187564041467033
mp-757551,Li9Sn9P12O48,78,3.534495364346659,1066.72665538,2270.499,55.538768154624975,27.261626447495797,2777.2320794313628,5098.762160026066,0.2890815139246702,90.265048434071,0.6689655116235826
mp-558711,V6Cd10P12O50,78,4.369490661113311,988.63406171,2601.4,100.85294251513828,41.09125304048669,3066.615205189945,5968.249756972972,0.3206405787665083,102.64095125714869,0.8911938130009689
mp-24377,V2H40S4N4O28,78,1.7961190991908231,716.02032888,774.464,24.82865825760003,11.139542906201545,2490.3828665371625,4700.302725198938,0.3048559026300635,92.6289698057616,0.1953166592416869
mp-1225631,In6H22C12O38,78,2.804773941630032,866.28051796,1463.178,39.416481329307885,14.930133207971124,2307.187602241888,4599.004268386036,0.3318420865759663,80.81805614728958,0.2153932477926616
mp-504531,Cu2H40S4N4O28,78,1.8777897510027,707.17056296,799.672,24.050686464237053,10.5708715124675,2372.64036616778,4507.091370580404,0.308320291662821,88.65544776325237,0.1720561106207934
mp-758557,Li9Fe9P12O48,78,2.860123425263961,989.75111948,1704.714,70.10706338839547,31.625780066235667,3325.28011822198,6265.398514989373,0.3039294724212564,111.01732888057629,0.8295557585933168
mp-572886,Cs6Mo10P14O48,78,3.756720656933444,1307.70529472,2958.418,46.06416660640149,22.043627177141342,2422.351023870419,4481.6866364614125,0.2936455318439763,73.60492256513953,0.4917745067999546
mp-542935,Co10P8H20O40,78,3.3905225399846017,733.30494593,1497.2420000000002,68.39120828072542,31.10071929171649,3028.669602700561,5692.252738437021,0.3025554610739355,111.72549391075847,0.6780687145805377
